id,us-gdp,GeoName,us-popu,state_abbr,Has Airport,Has Ferry Terminal,Has Train Station,total_attractions,total_reviews,five_score,four_score,three_score,two_score,one_score,tourism_quality,population_attraction_score,tourism_attraction_scores,harris_market_potential,Latitude,Longitude,Area
1001,1727818.0,Autauga,59210.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21854299544.46,0.0,21744216.613410227,32.53492017367085,-86.64274923980699,1894.814342319185
1003,8738819.0,Baldwin,239361.0,AL,0,1,1,31.0,11322.0,8582.0,1479.0,498.0,313.0,450.0,100720.0,78325380474.33,2533693098.05,19428218.063114073,30.660970047288995,-87.74984055383271,6511.147252512796
1005,747888.0,Barbour,24539.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8869516787.71,0.0,21208534.44847778,31.8696032447448,-85.39319697563072,2799.232218172883
1007,458049.0,Bibb,22370.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8456596255.47,0.0,22225561.278916106,32.99864310928269,-87.12643963203328,1971.0908494907217
1009,1025600.0,Blount,59085.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24318473380.02,0.0,24298033.205706734,33.98086738267196,-86.5673709638263,2023.9300157394073
1011,258126.0,Bullock,10280.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785058823.08,0.0,21576676.24035104,32.100554221446885,-85.7156972223035,1940.6142360049223
1013,634002.0,Butler,18855.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6552845239.13,0.0,20377461.1178173,31.752433942007315,-86.68028921563347,2449.0393891412064
1015,4624647.0,Calhoun,115677.0,AL,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48364354025.38,0.0,25049440.380726513,33.7714324493309,-85.82603085641108,1889.163599490817
1017,871486.0,Chambers,34446.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13884292984.24,0.0,23857590.8234499,32.91437222977551,-85.39204294896062,1858.06113482629
1019,595234.0,Cherokee,25026.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10864570530.13,0.0,25808424.167422593,34.17595596764691,-85.6037937154049,1842.9093071302368
1021,1086812.0,Chilton,45259.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17141701725.8,0.0,22296287.835864194,32.84784848135231,-86.7188112719768,2195.996071253239
1023,573867.0,Choctaw,12549.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4256245040.85,0.0,19878668.40836303,32.01961077822923,-88.2632012732688,2958.1143605377206
1025,845024.0,Clarke,22715.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7646126605.34,0.0,19736710.90908555,31.676659580196336,-87.8308098506501,4006.8509536222086
1027,433167.0,Clay,14190.0,AL,0,0,0,1.0,393.0,205.0,119.0,34.0,20.0,15.0,3193.0,5747853444.76,91375957.01,23931053.758804865,33.26908586733415,-85.86054708469251,1874.8444363041217
1029,316333.0,Cleburne,15148.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6504492978.01,0.0,25622859.367075875,33.67455771741423,-85.5187680007624,1725.3018381085108
1031,1607264.0,Coffee,54171.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18687784808.47,0.0,20278984.391138393,31.4026271795187,-85.98820692631328,2126.4144235584663
1033,2551784.0,Colbert,57619.0,AL,1,0,0,1.0,124.0,81.0,23.0,10.0,7.0,3.0,1051.0,22543903438.7,28794546.1,23122195.110194687,34.70043379511723,-87.80498528098009,1962.830772945258
1035,379476.0,Conecuh,11320.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3842399946.41,0.0,19845946.950165927,31.429271543421343,-86.99367420961246,2700.2179975875824
1037,177586.0,Coosa,10366.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030700830.56,0.0,22826617.730228715,32.93622683017198,-86.2476592624782,2074.6951710439585
1039,1252767.0,Covington,37542.0,AL,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12725527014.29,0.0,19875264.723729603,31.248492398758273,-86.45124254405715,3283.863321486727
1041,417294.0,Crenshaw,13056.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4589598203.14,0.0,20593196.821358852,31.731500175138585,-86.31353889363282,1914.377377977724
1043,3020298.0,Cullman,89618.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36369043257.02,0.0,24060381.70353811,34.131941071070905,-86.8676194632721,2355.7458584485576
1045,2891514.0,Dale,49412.0,AL,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17215715570.45,0.0,20526570.07785879,31.431827069825463,-85.61103681820732,1749.454765845003
1047,1259154.0,Dallas,37565.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13358475127.55,0.0,20902271.90371076,32.32597370902158,-87.10647632575797,3138.0376063600775
1049,2120202.0,DeKalb,71829.0,AL,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30748246272.34,0.0,25471156.174084365,34.45976662489966,-85.80414373090854,2394.4742122546077
